,question,answer
0,建議市府新設機車考照練習場,"新設機車考照練習場係屬新竹市監理站權責，經本府詢問過該站，目前依交通部機車駕訓政策，並無新設機車考照練習場地之計畫。
另為推廣機車駕訓制度，讓新手機車駕駛能透過駕訓班的訓練課程，習得較完整的騎乘技能與安全觀念，提升考照後上路的行車安全，即日起至今(112)年11月30日止，在期間內參加機車駕訓並考取駕照的民眾，補助每人訓練費1,300元，新竹市地區名額共計568名。（新竹市目前有新竹客運駕訓班及東亞駕訓班）。"
1,「桃竹竹苗生活圈通勤定期票」 問答集,「桃竹竹苗生活圈通勤定期票」所有相關問題，請詳附件問答集。
2,一般問題 - YouBike客服中心服務時間,"YouBike服務中心：位於新竹市東區西大路107號，服務時間：週三至週日 10:00－19:00 休息時間：12:00－13:00，視現場狀況微調時間。
YouBike電話客服：撥打YouBike客服專線03-659-0826或03-659-0022(付費)，如遇忙線中或於非服務時段來電，可於語音留言系統中留下您的姓名及電話，服務人員將儘快為您服務。"
3,申辦問題 - YouBike的使用方式,YouBike租車方式分為會員與單次租車，消費者可以使用電子票證及手機門號，透過官方網站、官方APP及服務中心加入會員。 單次租車可選擇信用卡(VISA，MASTER，JCB)付費，詳情請參照官網。
4,申辦問題 - YouBike的會員有何好處呢?,會員只需透過手機門號加上電子票證進行一次註冊，即享有長期使用的權利，且一組手機門號可以登記五張票卡，更加方便。另外，還能不定時收到YouBike的好康優惠，另享有公共自行車傷害險，使用者須先完成註冊。
5,申辦問題 - 註冊時一直收不到簡訊驗證碼,請先確認您的手機號碼是否輸入正確，以及是否有設定阻擋垃圾簡訊之功能，若等待超過五分鐘仍未收到簡訊，請您先將畫面停留，撥打YouBike客服專線03-659-0022(付費)，由客服人員協助處理。
6,費率及收費問題 - 交易異常的處理方式,"一、如遇不正確扣款情形，請撥YouBike客服專線03-659-0022(付費)，由服務人員協助處理。本作業依據 「新竹市公共自行車租賃系統YouBike服務條款」(以下簡稱服務條款)之相關辦法訂定之。
二、本作業所稱「退款」係指因營運系統、設備異常所產生之誤扣款，或因使用者車輛歸還不確實而造成之爭議扣款。
三、本作業所稱之YouBike服務中心，係指營運單位為提供客服服務工作所設置之服務據點，服務據點請參閱網站公告。如有異動， 以微笑單車官方網站公告內容為準。
四、使用者請親自前往YouBike服務中心進行退款作業，並配合營運單位填寫相關收款憑證，退款係以現金方式退還使用者。如有未盡周全之處，則由營運單位視情況調整並執行。"
7,申辦問題 - 單次租車的付費方式,"1. 單次租車僅限「信用卡」付款，使用費率依借車場站所在地區計算(立即前往查詢各地區費率)，可於信用卡帳單查詢每次租車交易資料。
2. 單次租車 ( 非會員 ) 不適用騎乘補助及公共自行車傷害險。
3. 使用信用卡授權單次租車，每次授權為 120 小時，超過 120 小時須重新授權。
4. 單次租車使用須預扣授權金：YouBike 1.0為新台幣 2,000 元，YouBike 2.0/2.0E為新台幣 3,000 元。如正常租用及返還車輛，授權到期後系統將自動取消本次授權，並返還授權額度，返還時間依各家信用卡銀行工作天數為準。
5. 或撥打YouBike客服專線03-659-0022(付費)，請服務人員協助處理。"
8,公共自行車損壞或遺失問題 - 若電子票證遺失，應如何處理?,請撥打YouBike客服專線03-659-0022(付費)，請服務人員協助處理。
9,常見問題詢問彙整 - 若還車後發現東西遺忘在車籃中，該如何處理?,"一、消費者於微笑單車車輛、場站內拾得遺失物，可送交警方或微笑單車任一服務中心，由服務人員點驗處理並定時於官網公告以供查詢。
二、消費者遺失物品時，可親臨、電洽、傳送電子郵件或於官網失物招領查詢。確認遺失物後，可至指定服務中心領回物品。
三、有任何相關問題可洽YouBike客服專線03-659-0022(付費)。"
10,費率及收費問題 - 註冊票卡為0元(含)以下問題,如註冊之電子票證餘額為0元或負值，感應借車時，面板將呈現異常代碼4號，無法借車。請至便利商店加值，使卡片餘額為正數即可使用。若有相關問題可撥打YouBike客服專線03-659-0022(付費)。
11,不同縣市需要重新註冊YouBike會員嗎？,YouBike會員全台相通，不同縣市不需重新註冊，即可直接租借。
12,若發現租用的YouBike車輛遺失了，該如何處理?,"(1)請您立即撥打YouBike客服專線03-659-0022(付費)，由服務人員為您服務。並依「新竹市公共自行車租賃系統YouBike服務條款」 4.使用服務及騎乘注意事項之規定管理之。
(2)公共自行車借出後，使用者應負保管之責。若使用者未妥善保管而致車輛遺失，應由使用者主動向警察單位報案；未報案時，營運單位將依照法律程序處理。
(3)使用者報案後，如於三個月後仍無法尋獲車輛，應依照服務條款賠付微笑單車股份有限公司。如嗣後車輛尋回並歸還予微笑單車股份有限公司者，微笑單車股份有限公司將以會員已賠償之金額為限、扣除車輛必要之維護檢修費用後，無息返還會員剩餘金額。"
13,借還車交易產生的異常扣款，該如何處理?,請您立即撥打YouBike客服專線03-659-0022(付費)，請服務人員協助處理。
14,若騎乘的車輛故障了，該如何處理?,請您將車輛攜至臨近場站歸還，並協助將椅墊反轉180度，以方便維修人員後續取回維修，也請您撥打YouBike客服專線03-659-0022(付費)告知車輛編號，謝謝。
15,如果YouBike站點無車可借，怎麼辦？,可透過官方網站及YouBike 2.0 APP查詢附近YouBike站點可借車輛數與可停空位數量，或撥打各縣市客服電話(一般付費，新竹市請撥03-659-0022)
16,使用YouBike 2.0E電輔車需要重新註冊會員嗎？,既有會員不需重新註冊，微笑單車會員票卡可直接租借YouBike 2.0 E電輔車 。
17,YouBike 2.0E電輔車服務地區？,YouBike 2.0E電輔車服務地區：新竹縣、新竹市(含新竹科學園區)、苗栗縣、臺中市、嘉義市、臺南市、高雄市、屏東縣。
18,如果YouBike 2.0站點無位可還，怎麼辦？,建議您可在原站等候空位，或是騎乘至鄰近站點還車，或透過官方網站及YouBike 2.0 APP即可查詢附近其它YouBike 2.0站點可停空位數量。
19,騎乘YouBike是否享有保險？,騎乘YouBike享有公共自行車傷害險，使用者須先完成微笑單車會員註冊(可透過微笑單車官網、APP註冊)，加入保險資料程序後，開始享有傷害險保障。 卡片實際使用者與登記被保險人須為同一人，方符合理賠資格，若不相符保險公司將不受理理賠，請您務必填寫完整的保險資料以保障自身權益；如您沒有填寫則無保險保障。
20,不小心騎車跌倒發生事故，怎麼辦？,若騎乘時發生意外，請撥打各縣市客服電話(一般付費，新竹市請撥03-659-0022)通報，並視當下情況判定是否需要請警方協助。後續微笑單車人員會協助釐清狀況，若車輛損壞嚴重需賠償，後續會再聯繫租用者。
21,如何查詢YouBike 2.0E電輔車與電量？,在官方網站及YouBike 2.0 APP站點地圖中，當站點左上方出現閃電符號，即代表該場站有YouBike 2.0E電輔車車輛，找到2.0E電輔車車輛後，點選場站資訊欄位的電量按鈕，會顯示該場站上可借的2.0E電輔車車號與電量。
22,YouBike 2.0E電輔車需還車在YouBike 2.0停車柱嗎？,YouBike 2.0E電輔車為2.0系統，請停2.0停車柱。2.0停車柱可停一台YouBike 2.0或2.0E電輔車。
23,YouBike 2.0適用的支付工具種類 (含電子票證、信用卡及電子支付),1. 電子票證：悠遊卡及一卡通。2. 信用卡。3. 電子支付：悠遊付及LINE Pay。
24,為何電子票證遭鎖卡，是否會影響其他服務使用(如：搭乘捷運或公車)？,若有車輛未歸還、交易異常、卡片遺失、欠費或其他因素，經確認後將列為停用名單，並進行鎖卡。卡片鎖卡後，除無法使用「YouBike微笑單車」，不影響該卡片其他功能。另卡片遺失、毀損，建議會員應自行向各功能權責單位辦理掛失作業，以確保自身權益。
25,如何查詢YouBike站點的車輛或車位數量？,"可透過下列管道查詢YouBike站點可借車輛數與可停空位數量：
1. YouBike官方網站的「站點資訊」，網址https://www.youbike.com.tw/region/main/stations/
2. App Store或Google Play下載YouBike官方APP，可查詢所在地點的「站點地圖」
3. 加入YouBike LINE官方帳號，官方帳號：https://lin.ee/3ukmDPPRT"
